PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
3341,ATL,93.0,Calais,Campbell,DL,Active,"6'8""",282,1986-09-01T00:00:00,Miami (FL),11,DL,True,DEF,Calais Campbell,37.0,16th Season,"September 1, 1986",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3341.png,11.0,CAR,15,C.Campbell,,Scrambled,Scrambled,0.0,78.0,ATL,ARI,2008.0,1.0,34.0,False,6,8,10,,Scrambled,1705.0,301484.0,0333b8f0-3aab-45aa-a684-6d402a309413,4628.0,5587.0,266767.0,18298.0,10267.0,,266767.0,8827.0,Scrambled,Scrambled,,Scrambled,,Calais Campbell,Calais Campbell,,Scrambled,Scrambled,False,,,,2.0,2,,,8313518.0,http://cdn.usatsimg.com/api/download/?imageID=21485989,http://cdn.usatsimg.com/api/download/?imageID=21485988,2023-09-23T13:17:10,2023-09-23T13:16:49
3617,NYJ,76.0,Duane,Brown,OT,Active,"6'4""",329,1985-08-30T00:00:00,Virginia Tech,11,OL,True,OFF,Duane Brown,38.0,16th Season,"August 30, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3617.png,7.0,MIA,15,D.Brown,,Scrambled,Scrambled,1.0,3.0,NYJ,HOU,2008.0,0.0,18.0,False,6,4,5,,Scrambled,,302665.0,f26bd260-a1eb-42ab-8768-bc8ad24e4f9e,4852.0,5773.0,224903.0,13493.0,2008.0,,,8803.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,24.0,24,,,8299537.0,http://cdn.usatsimg.com/api/download/?imageID=21319609,http://cdn.usatsimg.com/api/download/?imageID=21331480,2023-09-01T08:59:58,2023-09-02T15:37:22
3807,,,Ben,Roethlisberger,QB,Inactive,"6'5""",240,1982-03-02T00:00:00,Miami (OH),12,QB,False,OFF,Ben Roethlisberger,41.0,18th Season,"March 2, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3807.png,,KC,0,B.Roethlisberger,,Scrambled,Scrambled,,,,PIT,2004.0,0.0,5.0,False,6,5,2,10.0,Scrambled,,302782.0,ea357add-1a41-4a8b-8f34-bbfade7f4d98,1181.0,3764.0,246061.0,2753.0,6567.0,6589.0,246061.0,6770.0,Scrambled,Scrambled,,Scrambled,Ben Roethlisberger,Ben Roethlisberger,Ben Roethlisberger,,Scrambled,Scrambled,False,,,,,0,246061.0,Ben Roethlisberger,8254026.0,http://cdn.usatsimg.com/api/download/?imageID=17415859,http://cdn.usatsimg.com/api/download/?imageID=17493867,2021-12-27T14:19:43,2022-01-12T18:35:22
3943,,,DeSean,Jackson,WR,Inactive,"5'10""",175,1986-12-01T00:00:00,California,10,WR,False,OFF,DeSean Jackson,37.0,15th Season,"December 1, 1986",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3943.png,,CIN,0,D.Jackson,519.0,Scrambled,Scrambled,,,,PHI,2008.0,1.0,33.0,False,5,10,17,16.0,Scrambled,,301009.0,3e618eb6-41f2-4f20-ad70-2460f9366f43,4659.0,5581.0,300173.0,20625.0,10274.0,6739.0,300173.0,8826.0,Scrambled,Scrambled,,Scrambled,DeSean Jackson,DeSean Jackson,DeSean Jackson,,Scrambled,Scrambled,False,,,,,0,300173.0,DeSean Jackson,8306446.0,http://cdn.usatsimg.com/api/download/?imageID=17255816,http://cdn.usatsimg.com/api/download/?imageID=17255815,2021-11-29T12:48:14,2021-11-29T12:48:06
4314,,,Tom,Brady,QB,Inactive,"6'4""",225,1977-08-03T00:00:00,Michigan,16,QB,False,OFF,Tom Brady,46.0,23rd Season,"August 3, 1977",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4314.png,,DAL,0,T.Brady,,Scrambled,Scrambled,,,,NE,2000.0,3.0,136.0,False,6,4,1,5.0,Scrambled,,302701.0,41c44740-d0f6-44ab-8347-3b5d515e5ecf,1163.0,1350.0,25347.0,105.0,4012.0,6498.0,25347.0,5228.0,Scrambled,Scrambled,,Scrambled,Tom Brady,Tom Brady,Tom Brady,,Scrambled,Scrambled,False,,,,,0,25347.0,Tom Brady,8257062.0,http://cdn.usatsimg.com/api/download/?imageID=19034007,http://cdn.usatsimg.com/api/download/?imageID=19034006,2022-09-12T12:52:47,2022-09-12T12:52:22
4807,,,Adrian,Peterson,RB,Inactive,"6'1""",220,1985-03-21T00:00:00,Oklahoma,7,RB,False,OFF,Adrian Peterson,38.0,14th Season,"March 21, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4807.png,,ARI,0,A.Peterson,512.2,Scrambled,Scrambled,,,,MIN,2007.0,0.0,3.0,False,6,1,19,21.0,Scrambled,,300140.0,ab58c0ac-a747-47e6-9b3c-505e41d2bd3d,4169.0,5215.0,267443.0,12967.0,5131.0,6703.0,267443.0,8261.0,Scrambled,Scrambled,,Scrambled,Adrian Peterson,Adrian Peterson,Adrian Peterson,,Scrambled,Scrambled,False,,,,,0,267443.0,Adrian Peterson,8289180.0,http://cdn.usatsimg.com/api/download/?imageID=17121878,http://cdn.usatsimg.com/api/download/?imageID=17121945,2021-11-08T18:09:24,2021-11-08T18:45:11
5099,,,Andrew,Whitworth,OT,Inactive,"6'7""",330,1981-12-12T00:00:00,LSU,12,OL,False,OFF,Andrew Whitworth,42.0,17th Season,"December 12, 1981",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5099.png,,CIN,0,A.Whitworth,,Scrambled,Scrambled,,,,CIN,2006.0,1.0,38.0,False,6,7,17,,Scrambled,,302664.0,f1ce3e7d-6afc-4db4-94f0-475bd63507b3,3701.0,5005.0,,10245.0,8625.0,,,7804.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,,0,,,8249045.0,http://cdn.usatsimg.com/api/download/?imageID=16618575,http://cdn.usatsimg.com/api/download/?imageID=16618574,2021-08-24T15:05:33,2021-08-24T15:05:27
6489,BAL,17.0,Josh,Johnson,QB,Active,"6'3""",214,1986-05-15T00:00:00,San Diego,4,QB,True,OFF,Josh Johnson,37.0,9th Season,"May 15, 1986",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6489.png,13.0,JAX,15,J.Johnson,508.1,Scrambled,Scrambled,1.0,0.0,BAL,TB,2008.0,2.0,109.0,False,6,3,16,20.0,Scrambled,2728.0,302721.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,4706.0,5653.0,273278.0,35898.0,5360.0,8023.0,273278.0,8937.0,Scrambled,Scrambled,2023-12-10T00:00:00,Scrambled,Josh Johnson,Josh Johnson,Josh Johnson,1.0,Scrambled,Scrambled,True,,,14.0,3.0,3,273278.0,Josh Johnson,8313650.0,,,,
7243,,,Eric,Weddle,FS,Inactive,"5'11""",200,1985-01-04T00:00:00,Utah,7,DB,False,DEF,Eric Weddle,38.0,14th Season,"January 4, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7243.png,,CIN,0,E.Weddle,,Scrambled,Scrambled,,,,LAC,2007.0,1.0,25.0,False,5,11,17,,Scrambled,,302544.0,26138e8b-b776-492a-9684-b1c07e51b25c,4223.0,5370.0,225448.0,5405.0,8790.0,,225448.0,8291.0,Scrambled,Scrambled,,Scrambled,,Eric Weddle,Eric Weddle,,Scrambled,Scrambled,False,,,,,0,,,8292070.0,http://cdn.usatsimg.com/api/download/?imageID=13412160,http://cdn.usatsimg.com/api/download/?imageID=13421808,2019-09-25T12:58:37,2019-09-27T15:58:14
7651,NE,18.0,Matthew,Slater,WR,Active,"6'0""",205,1985-09-09T00:00:00,UCLA,11,WR,True,OFF,Matthew Slater,38.0,16th Season,"September 9, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7651.png,11.0,KC,15,M.Slater,514.9,Scrambled,Scrambled,1.0,3.0,NE,NE,2008.0,2.0,104.0,False,6,0,2,5.0,Scrambled,2046.0,301158.0,9d404288-65c5-414f-8ea5-ceb97eccaea0,4904.0,5786.0,234403.0,16353.0,0.0,7856.0,234403.0,8930.0,Scrambled,Scrambled,,Scrambled,Matthew Slater,Matthew Slater,Matthew Slater,2.0,Scrambled,Scrambled,False,2728.0,2046.0,5.0,21.0,21,234403.0,Matthew Slater,8254590.0,http://cdn.usatsimg.com/api/download/?imageID=21322429,http://cdn.usatsimg.com/api/download/?imageID=21340060,2023-09-01T16:05:21,2023-09-03T14:22:24
8243,,,Dustin,Colquitt,P,Inactive,"6'3""",210,1982-05-06T00:00:00,Tennessee,12,P,False,ST,Dustin Colquitt,41.0,18th Season,"May 6, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8243.png,,JAX,0,D.Colquitt,,Scrambled,Scrambled,,,,KC,2005.0,1.0,68.0,False,6,3,16,2.0,Scrambled,,302824.0,cdf8908a-7092-4054-a49c-a9884211aaa1,3212.0,4442.0,158414.0,3125.0,7850.0,,158414.0,7275.0,Scrambled,Scrambled,,Scrambled,,Dustin Colquitt,,,Scrambled,Scrambled,False,,,,,0,,,8289239.0,http://cdn.usatsimg.com/api/download/?imageID=16977821,http://cdn.usatsimg.com/api/download/?imageID=16999713,2021-10-17T19:34:09,2021-10-21T22:03:37
8283,,,Ryan,Fitzpatrick,QB,Inactive,"6'2""",228,1982-11-24T00:00:00,Harvard,12,QB,False,OFF,Ryan Fitzpatrick,41.0,18th Season,"November 24, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8283.png,,NYG,0,R.Fitzpatrick,,Scrambled,Scrambled,,,,LAR,2005.0,3.0,170.0,False,6,2,15,6.0,Scrambled,,302673.0,0742d2ea-1cf2-49a6-a150-77ba6e034d8c,3240.0,4385.0,161355.0,19131.0,7893.0,7659.0,161355.0,7426.0,Scrambled,Scrambled,,Scrambled,Ryan Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick,,Scrambled,Scrambled,False,,,,,0,161355.0,Ryan Fitzpatrick,8274268.0,http://cdn.usatsimg.com/api/download/?imageID=16696420,http://cdn.usatsimg.com/api/download/?imageID=16696421,2021-09-06T10:55:00,2021-09-06T10:55:05
8358,LV,7.0,Brian,Hoyer,QB,Active,"6'2""",215,1985-10-13T00:00:00,Michigan State,10,QB,True,OFF,Brian Hoyer,38.0,15th Season,"October 13, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8358.png,13.0,LAC,15,B.Hoyer,441.3,Scrambled,Scrambled,1.0,0.0,LV,NE,2009.0,,,True,6,2,18,18.0,Scrambled,2728.0,302751.0,af4ba620-2f00-4b00-9111-7897f2b1cde8,5463.0,6140.0,264725.0,18642.0,11271.0,7872.0,264725.0,9547.0,Scrambled,Scrambled,2023-12-10T00:00:00,Scrambled,Brian Hoyer,Brian Hoyer,Brian Hoyer,1.0,Scrambled,Scrambled,True,4092.0,,15.0,25.0,25,264725.0,Brian Hoyer,8314087.0,http://cdn.usatsimg.com/api/download/?imageID=21362439,http://cdn.usatsimg.com/api/download/?imageID=21362436,2023-09-07T13:27:25,2023-09-07T13:27:19
8433,,,Kevin,Huber,P,Inactive,"6'1""",210,1985-07-16T00:00:00,Cincinnati,7,P,False,ST,Kevin Huber,38.0,14th Season,"July 16, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8433.png,,KC,0,K.Huber,,Scrambled,Scrambled,,,,CIN,2009.0,2.0,97.0,False,6,1,2,1.0,Scrambled,,302827.0,d14302ef-0224-4c92-961a-6d10452936ff,,7087.0,285188.0,19572.0,11452.0,,,9406.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,,0,,,8254340.0,http://cdn.usatsimg.com/api/download/?imageID=18990245,http://cdn.usatsimg.com/api/download/?imageID=18996125,2022-09-05T01:39:41,2022-09-06T21:11:27
8485,,,Alex,Mack,C,Inactive,"6'4""",311,1985-11-19T00:00:00,California,7,OL,False,OFF,Alex Mack,38.0,14th Season,"November 19, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8485.png,,GB,0,A.Mack,,Scrambled,Scrambled,,,,CLE,2009.0,0.0,14.0,False,6,4,12,,Scrambled,,302353.0,7cfc5f12-e344-4a41-8f54-52a5c2bbd52d,5213.0,6054.0,,14114.0,11338.0,,,9285.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,,0,,,8274243.0,http://cdn.usatsimg.com/api/download/?imageID=16977758,http://cdn.usatsimg.com/api/download/?imageID=16999835,2021-10-17T19:13:01,2021-10-21T22:10:24
8534,,,Jared,Cook,TE,Inactive,"6'5""",254,1987-04-07T00:00:00,South Carolina,7,TE,False,OFF,Jared Cook,36.0,14th Season,"April 7, 1987",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8534.png,,LV,0,J.Cook,510.1,Scrambled,Scrambled,,,,TEN,2009.0,1.0,61.0,False,6,5,11,6.0,Scrambled,,301346.0,3b7a1409-d154-4e5c-8c94-9d4a0e0993c7,5165.0,5981.0,296480.0,23471.0,10345.0,7761.0,296480.0,9353.0,Scrambled,Scrambled,,Scrambled,Jared Cook,Jared Cook,Jared Cook,,Scrambled,Scrambled,False,,,,,0,296480.0,Jared Cook,8274634.0,http://cdn.usatsimg.com/api/download/?imageID=16696991,http://cdn.usatsimg.com/api/download/?imageID=16696992,2021-09-06T11:25:46,2021-09-06T11:25:51
8550,,,Jason,McCourty,CB,Inactive,"5'11""",195,1987-08-13T00:00:00,Rutgers,7,DB,False,DEF,Jason McCourty,36.0,14th Season,"August 13, 1987",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8550.png,,NE,0,J.McCourty,,Scrambled,Scrambled,,,,TEN,2009.0,3.0,138.0,False,5,11,4,,Scrambled,,300478.0,7c73efae-bf01-4226-a2f8-ec6243da9b99,5414.0,6221.0,300593.0,21882.0,11576.0,,,9467.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,,0,,,8274851.0,http://cdn.usatsimg.com/api/download/?imageID=16613092,http://cdn.usatsimg.com/api/download/?imageID=16648945,2021-08-23T14:14:31,2021-08-29T10:53:29
8750,,,Ryan,Succop,K,Inactive,"6'2""",218,1986-09-19T00:00:00,South Carolina,10,K,False,ST,Ryan Succop,37.0,15th Season,"September 19, 1986",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8750.png,,DAL,0,R.Succop,538.8,Scrambled,Scrambled,,,,KC,2009.0,3.0,175.0,False,6,2,1,0.0,Scrambled,,300742.0,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,5461.0,6150.0,296494.0,23486.0,11494.0,6767.0,296494.0,9520.0,Scrambled,Scrambled,,Scrambled,Ryan Succop,Ryan Succop,Ryan Succop,,Scrambled,Scrambled,False,,,,,0,,,8257165.0,http://cdn.usatsimg.com/api/download/?imageID=19001134,http://cdn.usatsimg.com/api/download/?imageID=19002100,2022-09-07T17:25:29,2022-09-07T20:35:46
8920,SEA,70.0,Jason,Peters,OT,Active,"6'4""",328,1982-01-22T00:00:00,Arkansas,14,OL,True,OFF,Jason Peters,41.0,20th Season,"January 22, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8920.png,5.0,PHI,15,J.Peters,,Scrambled,Scrambled,1.0,74.0,SEA,BUF,2004.0,,,True,6,4,21,,Scrambled,,302589.0,46aab8e6-3ca9-4213-a6cb-87db90786f6b,3061.0,3874.0,251177.0,18259.0,7159.0,,,7122.0,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,30.0,30,,,8314676.0,http://cdn.usatsimg.com/api/download/?imageID=16577260,http://cdn.usatsimg.com/api/download/?imageID=16577261,2021-08-17T16:17:37,2021-08-17T16:17:43
