Team,Position,Status,Height,Weight,College,Experience,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,HeightFeet,HeightInches,Salary
LAR,DB,Active,"6'0""",190,Georgia,1,True,DEF,Derion Kendrick,23.0,2nd Season,"August 24, 2000",6,0,"$948,004"
CAR,DT,Active,"6'5""",320,Auburn,2,True,DEF,Derrick Brown,25.0,4th Season,"April 15, 1998",6,5,"$5,905,351"
NYG,CB,Active,"5'10""",195,UCLA,2,True,DEF,Darnay Holmes,25.0,4th Season,"June 23, 1998",5,10,"$1,021,722"
HOU,CB,Active,"5'10""",205,Ferris State,3,True,DEF,Tavierre Thomas,27.0,6th Season,"March 11, 1996",5,10,"$2,250,000"
BAL,LB,Active,"6'3""",259,Ohio State,2,True,DEF,Malik Harrison,25.0,4th Season,"March 5, 1998",6,3,"$1,124,851"
DET,DL,Active,"6'3""",274,Kentucky,1,True,DEF,Josh Paschal,23.0,2nd Season,"December 17, 1999",6,3,"$1,933,913"
,LB,Inactive,"6'1""",235,Temple,1,False,DEF,William Kwenkeu,25.0,2nd Season,"January 8, 1998",6,1,"$927,500"
MIN,OLB,Active,"6'6""",256,Army,0,True,DEF,Andre Carter II,23.0,Rookie,"June 2, 2000",6,6,"$911,667"
DET,CB,Active,"5'11""",203,Arkansas,1,True,DEF,Jerry Jacobs,26.0,3rd Season,"September 26, 1997",5,11,"$809,500"
IND,S,Active,"6'0""",212,Maryland,1,True,DEF,Nick Cross,22.0,2nd Season,"September 10, 2001",6,0,"$1,266,410"
ARI,ILB,Active,"6'2""",214,Washington,3,True,DEF,Ezekiel Turner,27.0,6th Season,"June 9, 1996",6,2,"$2,000,000"
BAL,CB,Non Football Injury,"6'2""",190,Clemson,2,True,DEF,Trayvon Mullen,26.0,5th Season,"September 20, 1997",6,2,"$1,080,000"
SEA,LB,Active,"5'11""",234,Michigan,2,True,DEF,Devin Bush,25.0,5th Season,"July 18, 1998",5,11,"$3,500,000"
NO,DE,Active,"6'5""",261,Wyoming,2,True,DEF,Carl Granderson,26.0,5th Season,"December 18, 1996",6,5,"$13,000,000"
SEA,DT,Physically Unable to Perform,"6'3""",345,Michigan,2,True,DEF,Bryan Mone,28.0,4th Season,"October 20, 1995",6,3,"$5,517,500"
BUF,DE,Active,"6'6""",260,Iowa,2,True,DEF,A.J. Epenesa,25.0,4th Season,"September 15, 1998",6,6,"$1,469,325"
LV,DE,Active,"6'5""",255,Eastern Michigan,2,True,DEF,Maxx Crosby,26.0,5th Season,"August 22, 1997",6,5,"$23,500,000"
CAR,DT,Active,"6'3""",300,Tennessee,2,True,DEF,Shy Tuttle,28.0,5th Season,"October 20, 1995",6,3,"$6,500,000"
WAS,OL,Injured Reserve,"6'4""",297,Utah,0,True,OFF,Braeden Daniels,23.0,Rookie,"August 22, 2000",6,4,"$1,148,613"
DEN,ILB,Injured Reserve,"6'4""",250,Indiana State,1,True,DEF,Jonas Griffith,26.0,3rd Season,"January 27, 1997",6,4,"$882,500"
DET,QB,Non Football Injury,"6'3""",221,Tennessee,0,True,OFF,Hendon Hooker,25.0,Rookie,"January 13, 1998",6,3,"$1,429,755"
TEN,LB,Injured Reserve,"6'0""",240,Northwestern,3,True,DEF,Joe Jones,29.0,7th Season,"February 21, 1994",6,0,"$1,080,000"
JAX,S,Active,"5'10""",215,Auburn,2,True,DEF,Daniel Thomas,25.0,4th Season,"July 1, 1998",5,10,"$903,029"
LAR,DT,Active,"6'1""",280,Pittsburgh,5,True,DEF,Aaron Donald,32.0,10th Season,"May 23, 1991",6,1,"$31,666,667"
WAS,S,Active,"5'11""",202,Utah,2,True,DEF,Terrell Burgess,25.0,4th Season,"November 12, 1998",5,11,"$1,010,000"
HOU,S,Active,"6'1""",203,William & Mary,4,True,DEF,DeAndre Houston-Carson,30.0,8th Season,"April 13, 1993",6,1,"$1,165,000"
LAR,DT,Active,"6'2""",297,North Carolina State,2,True,DEF,Larrell Murchison,26.0,4th Season,"April 24, 1997",6,2,"$952,500"
TB,LB,Active,"6'0""",230,Pittsburgh,0,True,DEF,SirVocea Dennis,23.0,Rookie,"March 9, 2000",6,0,"$1,039,331"
NE,DB,Active,"5'11""",208,Texas,4,True,DEF,Adrian Phillips,31.0,9th Season,"March 28, 1992",5,11,"$4,250,000"
ARI,CB,Active,"6'0""",191,Florida,1,True,DEF,Marco Wilson,24.0,3rd Season,"March 3, 1999",6,0,"$1,032,595"
CAR,LB,Injured Reserve,"6'0""",230,Washington,4,True,DEF,Shaq Thompson,29.0,9th Season,"April 21, 1994",6,0,"$6,300,000"
WAS,CB,Active,"6'3""",200,Minnesota,1,True,DEF,Benjamin St-Juste,26.0,3rd Season,"September 8, 1997",6,3,"$1,275,188"
,LB,Inactive,"6'3""",235,Southeastern Oklahoma State,0,False,DEF,Maalik Hall,24.0,Rookie,"February 4, 1999",6,3,"$900,833"
MIA,CB,Active,"6'1""",203,Ohio State,4,True,DEF,Eli Apple,28.0,8th Season,"August 9, 1995",6,1,"$1,600,000"
ARI,ILB,Injured Reserve,"6'2""",234,West Virginia,3,True,DEF,Kyzir White,27.0,6th Season,"March 24, 1996",6,2,"$5,000,000"
IND,DE,Active,"6'3""",267,Ohio State,3,True,DEF,Tyquan Lewis,28.0,6th Season,"January 30, 1995",6,3,"$2,100,000"
BUF,LB,Active,"6'0""",233,Clemson,1,True,DEF,Baylon Spector,25.0,2nd Season,"October 20, 1998",6,0,"$940,931"
CHI,DE,Active,"6'6""",262,Mississippi State,2,True,DEF,Montez Sweat,27.0,5th Season,"September 4, 1996",6,6,"$24,500,000"
DAL,CB,Injured Reserve,"6'2""",195,Alabama,2,True,DEF,Trevon Diggs,26.0,4th Season,"September 20, 1997",6,2,"$19,400,000"
MIA,CB,Active,"6'1""",180,South Carolina,0,True,DEF,Cam Smith,22.0,Rookie,"December 21, 2000",6,1,"$1,757,106"
ARI,S,Active,"5'10""",195,Washington,3,True,DEF,Budda Baker,27.0,7th Season,"January 10, 1996",5,10,"$14,750,000"
CHI,CB,Active,"6'0""",207,Minnesota,0,True,DEF,Terell Smith,24.0,Rookie,"July 27, 1999",6,0,"$1,028,971"
BAL,ILB,Active,"6'1""",236,Georgia,3,True,DEF,Roquan Smith,26.0,6th Season,"April 8, 1997",6,1,"$20,000,000"
SEA,S,Injured Reserve,"5'9""",196,New Mexico,0,True,DEF,Jerrick Reed II,23.0,Rookie,"August 7, 2000",5,9,"$1,003,701"
CHI,DT,Active,"6'3""",309,North Carolina State,3,True,DEF,Justin Jones,27.0,6th Season,"August 28, 1996",6,3,"$6,000,000"
SF,CB,Active,"6'0""",190,Michigan,1,True,DEF,Ambry Thomas,24.0,3rd Season,"September 9, 1999",6,0,"$1,196,463"
CIN,DT,Active,"6'3""",340,Colorado,3,True,DEF,Josh Tupou,29.0,6th Season,"May 2, 1994",6,3,"$1,500,000"
DEN,ILB,Active,"6'2""",236,Iowa,3,True,DEF,Josey Jewell,28.0,6th Season,"December 25, 1994",6,2,"$5,500,000"
LAR,LB,Active,"6'1""",235,Iowa State,1,True,DEF,Jake Hummel,24.0,2nd Season,"January 4, 1999",6,1,"$855,000"
TB,DL,Active,"6'0""",280,Pittsburgh,0,True,DEF,Calijah Kancey,22.0,Rookie,"March 1, 2001",6,0,"$3,623,369"
BAL,LB,Active,"6'2""",230,Illinois,2,True,DEF,Del'Shawn Phillips,27.0,4th Season,"October 9, 1996",6,2,"$1,110,000"
MIA,DT,Active,"6'6""",300,Ferris State,3,True,DEF,Zach Sieler,28.0,6th Season,"September 7, 1995",6,6,"$10,250,000"
MIN,CB,Active,"6'2""",198,Missouri,1,True,DEF,Akayleb Evans,24.0,2nd Season,"June 22, 1999",6,2,"$1,105,269"
NYG,DL,Active,"6'4""",330,Alabama,4,True,DEF,A'Shawn Robinson,28.0,8th Season,"March 21, 1995",6,4,"$5,000,000"
SF,DB,Active,"5'10""",200,Oregon,1,True,DEF,Deommodore Lenoir,24.0,3rd Season,"October 6, 1999",5,10,"$941,218"
,TE,Inactive,"6'5""",260,Loyola,1,False,OFF,Sammis Reyes,28.0,2nd Season,"October 19, 1995",6,5,"$940,000"
NO,S,Injured Reserve,"6'0""",207,Florida,3,True,DEF,Marcus Maye,30.0,7th Season,"March 9, 1993",6,0,"$7,500,000"
ARI,ILB,Active,"6'1""",230,Maryland,2,True,DEF,Josh Woods,27.0,5th Season,"July 1, 1996",6,1,"$1,232,500"
KC,CB,Active,"6'2""",197,Washington State,1,True,DEF,Jaylen Watson,25.0,2nd Season,"September 17, 1998",6,2,"$936,343"
LV,DT,Active,"6'3""",292,Alabama,0,True,DEF,Byron Young,23.0,Rookie,"November 10, 2000",6,3,"$1,389,167"
NO,DT,Active,"6'0""",324,Western Illinois,2,True,DEF,Khalen Saunders,27.0,5th Season,"August 9, 1996",6,0,"$4,100,000"
MIN,LB,Active,"6'3""",225,Oregon,2,True,DEF,Troy Dye,27.0,4th Season,"September 18, 1996",6,3,"$993,395"
DET,DB,Active,"6'0""",203,Alabama,0,True,DEF,Brian Branch,22.0,Rookie,"October 22, 2001",6,0,"$2,005,433"
CIN,DE,Active,"6'5""",265,Ohio State,3,True,DEF,Sam Hubbard,28.0,6th Season,"June 29, 1995",6,5,"$10,000,000"
DEN,DL,Suspended,"6'6""",320,Iowa State,1,True,DEF,Eyioma Uwazurike,25.0,2nd Season,"May 6, 1998",6,6,"$1,106,467"
CLE,C,Active,"6'3""",303,Ohio State,0,True,OFF,Luke Wypler,22.0,Rookie,"May 3, 2001",6,3,"$1,004,993"
NYG,CB,Active,"6'1""",193,Notre Dame,1,True,DEF,Nick McCloud,25.0,3rd Season,"July 9, 1998",6,1,"$882,500"
LAC,OLB,Injured Reserve,"6'2""",244,Duke,1,True,DEF,Chris Rumph II,25.0,3rd Season,"October 19, 1998",6,2,"$1,058,386"
KC,S,Injured Reserve,"6'1""",206,Cincinnati,1,True,DEF,Bryan Cook,24.0,2nd Season,"September 7, 1999",6,1,"$1,461,785"
BAL,OLB,Active,"6'5""",257,Penn State,1,True,DEF,Odafe Oweh,25.0,3rd Season,"December 15, 1998",6,5,"$2,835,598"
NYJ,DL,Injured Reserve,"6'4""",309,LSU,6,True,DEF,Al Woods,36.0,13th Season,"March 25, 1987",6,4,"$2,250,000"
LV,OT,Injured Reserve,"6'8""",320,Arkansas,0,True,OFF,Dalton Wagner,25.0,Rookie,"October 5, 1998",6,8,"$906,667"
LAR,DB,Active,"6'2""",195,Colorado,3,True,DEF,Ahkello Witherspoon,28.0,7th Season,"March 21, 1995",6,2,"$1,080,000"
IND,S,Active,"6'0""",202,Utah,2,True,DEF,Julian Blackmon,25.0,4th Season,"August 24, 1998",6,0,"$1,157,212"
PHI,DE,Active,"6'5""",265,Florida State,3,True,DEF,Josh Sweat,26.0,6th Season,"March 29, 1997",6,5,"$13,333,333"
MIN,OLB,Injured Reserve,"6'6""",265,Texas-San Antonio,3,True,DEF,Marcus Davenport,27.0,6th Season,"September 4, 1996",6,6,"$13,000,000"
MIA,LB,Injured Reserve,"6'4""",232,Illinois State,0,True,DEF,Zeke Vandenburgh,24.0,Rookie,"January 18, 1999",6,4,"$899,000"
NO,LB,Active,"6'0""",233,Georgia,1,True,DEF,Monty Rice,24.0,3rd Season,"January 8, 1999",6,0,"$1,212,215"
LAC,LB,Active,"6'0""",232,UCLA,4,True,DEF,Eric Kendricks,31.0,9th Season,"February 29, 1992",6,0,"$6,625,000"
NYG,S,Active,"6'0""",200,Pittsburgh,1,True,DEF,Jason Pinnock,24.0,3rd Season,"June 30, 1999",6,0,"$937,613"
PIT,LB,Active,"6'2""",240,Wisconsin,0,True,DEF,Nick Herbig,22.0,Rookie,"November 21, 2001",6,2,"$1,128,230"
ATL,DL,Active,"6'8""",282,Miami (FL),11,True,DEF,Calais Campbell,37.0,16th Season,"September 1, 1986",6,8,"$7,000,000"
